myday;pm25;pm10;tmp;rh;rain;radsolar;co2;pressure;ws;no2;co;so2;o3
2021-05-16;7,673995389;16,17699675;15,58518519;68,87340278;0,074166667;173,8541667;508,5416667;564,0138889;1,2325;14,15936183;0,620655977;6,692547142;12,43411535
2021-05-17;6,290612648;12,80327986;14,45574074;74,294375;0,233833333;124,25;509,7083333;564,3333333;1,198583333;13,96031304;0,64325621;6,611510299;11,59098291
2021-05-18;9,004514454;21,65690991;15,48613095;63,0467517;0,001666667;197,0285714;514,5416667;564,5138889;1,400378788;15,55961998;0,715044229;4,352635688;12,53603355
2021-05-19;12,39952381;28,86085695;15,14666667;60,70154762;0,005416667;263,625;535,5416667;564,125;1,706818182;15,94849395;0,737345026;7,961208221;13,30394435
2021-05-20;10,43072652;29,2447332;15,61625;61,20973085;0;216,3706522;519,6666667;563,9359903;1,521541502;15,7148989;0,755211986;8,674202142;11,89990755
2021-05-21;9,740668044;26,67074628;15,72916667;62,56821429;0,000416667;145,675;513,7083333;563,8333333;1,592045455;16,05704887;0,721315786;4,124372855;12,15573548
2021-05-22;10,51921937;30,34600551;16,14458333;63,43136905;0,045;158,95;510,5833333;563,6388889;1,44469697;16,66332695;0,814819684;4,871356271;13,46533746
2021-05-23;5,472271825;13,93265395;15,93791667;64,80511905;0,025833333;173,225;502,125;563,875;1,434469697;13,02375329;0,516098577;3,539199943;17,10843237
2021-05-24;8,065355025;20,34353776;15,37541667;66,37619048;0,015833333;161,7416667;493,9166667;564,0833333;1,591666667;16,20036752;0,626581781;5,553463225;14,98816588
2021-05-25;8,238252086;21,76684802;15,30541667;64,53583333;0,032424242;152,15;508,25;564,4027778;1,518939394;16,29500475;0,77238888;7,04946872;14,31117017
2021-05-26;6,97492702;17,66222281;15,70375;60,09486542;0,00375;174,1800725;487,75;564,8091787;1,716996047;14,73353946;0,592621518;4,090113676;22,96572545
2021-05-27;10,21533267;24,44687563;13,89166667;72,18255952;0,076309524;98,525;511,2083333;564,7777778;1,071212121;18,0765154;0,8057989;3,620854932;8,986808815
2021-05-28;20,38089993;43,75289855;14,40833333;72,17714286;0,684583333;101,85;546,6666667;564,1666667;0,804671717;26,31327561;1,063845372;5,207140784;15,42442538
2021-05-29;15,72977053;25,45768139;14,25916667;78,50470238;0,399583333;100,3666667;520,2916667;563,8055556;0,758522727;27,06868393;0,996579813;2,851658435;11,01115078
2021-05-30;11,77906746;17,80065982;14,38208333;78,73494048;0,73875;128,0916667;519,0416667;564,2777778;0,851515152;21,2257609;0,938108764;2,077572433;12,27989272
2021-05-31;9,888046223;22,92039769;15,50375;68,60303571;0,07125;170,6333333;502,5;564,4861111;1,251515152;16,32927103;0,800798248;4,954499359;9,530573319
2021-06-01;10,66370773;23,23858463;15,625;65,76119048;0,122083333;197,85;504,7083333;563,9166667;1,307822793;17,73665602;0,686895133;5,915701496;11,9535489
2021-06-02;18,68508454;38,58946256;15,55708333;68,46833333;0,470416667;217,0583333;539,0833333;563,4861111;1,121287879;22,96286333;1,025917565;4,1599985;14,85331141
2021-06-03;14,42530193;32,73705906;15,67916667;67,38139234;0,224166667;163,4626812;530,4166667;563,7385266;1,205154809;19,34781778;0,877791697;4,772409195;10,82544569
2021-06-04;11,3967116;29,60079463;15,4775;64,76505952;0,000416667;156,2083333;507,9583333;564,0833333;1,486742424;16,08627928;0,784214405;6,674342143;10,13985614
2021-06-05;9,963606493;24,50103618;15,36708333;63,80738095;0,00375;192,475;504,4166667;563,8611111;1,380681818;16,29048452;0,689536204;4,012960768;12,91866606
2021-06-06;7,116543149;16,86460921;15,06583333;67,95470238;0,04625;158,675;505,0416667;563,5972222;1,268939394;12,23847734;0,535408899;2,42382321;10,72914226
2021-06-07;5,418445519;12,32273869;15,47875;63,64797619;0,016666667;186,725;483,125;563,5972222;1,465151515;10,22909921;0,460180095;1,774230472;13,83925853
2021-06-08;10,4365846;19,17170528;13,59416667;76,47886905;0,572916667;90,11666667;499,9166667;564,3611111;1,026515152;19,98574954;0,815566388;2,413678125;8,887387208
2021-06-09;18,75729167;30,25738826;13,13958333;78,98935041;0,4475;94,1;542,0416667;564,7952899;0,731620553;25,38287938;1,055038098;3,735557696;9,097069948
2021-06-10;18,98164036;34,0550761;13,63641304;74,78981108;0,302264493;93,61666667;518,75;564,8478261;0,868092105;26,30211932;1,034599477;4,816731617;9,902108338
2021-06-11;29,40202597;54,72673337;14,27708333;71,68904762;0,54125;164,1916667;550,6666667;564,125;0,909583333;32,89719219;1,308473069;4,180337764;16,82327514
2021-06-12;14,22347661;24,1616638;15,13020833;68,33107143;0,993541667;209,825;493,8333333;563,875;1,572708333;21,01587318;0,701008838;2,701484506;16,41452868
2021-06-13;7,326663561;13,55711237;14,58611111;70,65684524;0,103703704;132,4083333;502,0833333;564,3472222;1,073997494;14,90154916;0,580423858;2,366393088;12,78793884
2021-06-14;8,844345799;15,71418668;13,7145934;77,91880952;0,57037037;106,0916667;509,2083333;564,6666667;0,767083333;18,93478794;0,755346116;1,907924844;11,37594859
2021-06-15;17,6953173;29,96082135;13,73796296;74,65666667;0,558796296;187,25;528,2916667;564,8888889;0,880092593;25,44840012;1,15223412;2,368782043;14,64662252
